CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
D,60,1,0,0,0,ML,Persistence,60,22.7,183,365,Sources,2017
C,360,1,0,0,0,ML,Persistence,60,25.6136436085432,73,292,Sources,2019
D,1440,1,1,1,1,Ens,Persistence,60,39.8,365,365,PV,2018
A,300,1,0,1,0,ML,SP,60,19.7,365,366,Sources,2016
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,26,184,181,PV,2018
B,60,1,0,0,0,ML,Persistence,15,20,1430,1430,PV,2018
D,20,1,1,0,0,ML,SP,10,5.87,731,1096,Sources,2020
C,180,1,1,0,1,ML,SP,15,58.7,109.5,255.5,Sources,2016
C,300,1,0,0,0,ML,Persistence,60,48.7562189054726,73,292,Sources,2019
C,2880,1,0,0,1,TS,Persistence,60,8,184,181,PV,2018
B,15,1,0,0,0,TS,Persistence,15,11,1430,1430,PV,2018
C,240,0,1,0,0,ML,SP,60,37.6205787781351,219,876,Sources,2018
B,1440,1,1,0,0,Reg,Persistence,60,25.8,365,0,Sources,2018
C,15,1,0,0,0,ML,Persistence,15,-42,183,365,Sources,2017
D,60,1,1,0,0,Ens,Persistence,60,51,365,183,Sources,2019
D,60,1,0,0,0,ML,Persistence,60,25.73,31,730,Sources,2019
B,180,1,1,0,0,Hybrid,Persistence,60,22.57,150,580,Sources,2022
C,1440,1,0,0,0,TS,Persistence,60,20,365,0,PV,2018
C,2880,1,0,1,1,TS,Persistence,60,24.5,365,365,PV,2019
B,360,0,1,0,0,ML,SP,60,26.51,91,274,Sources,2016
C,180,1,1,0,0,ML,SP,60,6.284,350,700,Sources,2015
C,180,1,1,0,1,Reg,SP,60,7.21,350,700,Sources,2015
B,120,1,1,0,1,ML,SP,60,18.2035928143713,273.75,821.25,Sources,2015
C,60,1,1,0,0,ML,PerClim,60,9.63,366,730,Sources,2021
B,60,1,1,0,0,TS,SP,60,-1,365,365,Sources,2022
C,180,1,1,1,0,ImageBased,SP,30,21,365,0,Sources,2017
B,120,1,1,0,0,Reg,SP,60,2.419,350,700,Sources,2015
C,345,1,1,0,0,ImageBased,SP,15,35.8,181,731,Sources,2021
B,120,1,1,0,1,Reg,SP,60,5.445,350,700,Sources,2015
C,240,1,1,0,0,ML,SP,60,18.04,365,366,Sources,2015
C,1440,1,0,1,1,ML,SP,60,43.4065934065934,731,730,PV,2019
D,90,1,1,0,0,ML,SP,15,11.84,274,548,Sources,2020
B,60,1,1,0,0,ML,SP,60,2.272,350,700,Sources,2015
B,60,1,1,0,0,TS,SP,15,13.05,274,548,Sources,2020
B,180,1,1,0,0,ML,SP,60,7.061,350,700,Sources,2015
C,2880,1,1,1,0,ImageBased,Persistence,15,37.6,365,0,PV,2021
D,10,1,1,0,0,ML,Persistence,10,1.64576802507836,365,365,Sources,2021
C,720,1,1,1,0,ImageBased,Persistence,15,40.2,365,0,PV,2021
C,120,1,1,0,1,Reg,SP,60,10.602,350,700,Sources,2015
D,60,1,0,0,0,ML,SP,60,47.92,30,2920,Sources,2016
C,2880,1,0,0,1,TS,Persistence,60,9,184,181,PV,2018
D,60,1,1,0,0,ML,SP,60,36.275,110,256,Sources,2018
C,300,1,1,0,0,TS,Persistence,60,59.3797772439397,365,366,Sources,2015
C,90,0,0,0,0,ImageBased,SP,30,19.47,99,297,Sources,2013
N,180,1,0,0,0,TS,Persistence,60,43.4873949579832,73,292,Sources,2018
C,60,1,1,0,0,ML,SP,60,32.3549965059399,730,2922,Sources,2021
C,30,1,0,1,0,ML,SP,15,-20.84,365,853,PV,2021
C,2880,1,0,0,1,Ens,Persistence,60,14,184,181,PV,2018
B,60,1,0,0,0,ML,Persistence,60,42.7,183,365,Sources,2017
D,15,1,0,0,0,ML,Persistence,15,-33.5,183,365,Sources,2017
C,60,1,0,0,0,Reg,SP,15,13,365,365,PV,2017
C,180,1,1,0,0,TS,SP,60,5.92,365,366,Sources,2015
B,60,1,1,0,0,ML,SP,60,1.298,350,700,Sources,2015
B,60,1,1,0,0,ML,Persistence,60,43.48,31,334,Sources,2017
C,300,0,0,0,0,ImageBased,SP,60,25.6,365,1675,Sources,2018
B,120,1,1,0,1,Reg,SP,60,9.744,350,700,Sources,2015
B,60,1,1,0,0,ML,Persistence,60,3,102,200,PV,2020
C,720,1,1,1,0,ImageBased,Persistence,15,40.9,365,0,PV,2021
D,60,1,0,0,0,ML,SP,60,64.6,31,2920,Sources,2016
C,105,1,1,0,0,Ens,SP,15,15.14,274,548,Sources,2020
D,45,1,1,0,0,TS,SP,15,9.56,274,548,Sources,2020
B,60,1,0,0,0,ML,Persistence,60,60.7673267326733,731,730,Sources,2019
C,240,1,1,0,0,TS,SP,60,7.85,365,366,Sources,2015
C,1920,1,0,0,0,TS,Persistence,60,29.5,365,0,PV,2017
B,60,1,0,0,0,ML,Persistence,60,16.0377358490566,1338.33333333333,1338.33333333333,Sources,2019
B,60,1,0,0,0,ML,Persistence,60,66.1251664447403,365,1095,Sources,2022
C,180,1,1,0,1,Reg,SP,60,16.045,350,700,Sources,2015
D,60,1,0,0,0,ML,SP,60,55.84,31,2920,Sources,2016
B,60,1,0,0,0,ML,Persistence,60,8.3,183,365,Sources,2017
C,1440,0,0,1,1,ML,Persistence,60,51.9,365,2556,Sources,2018
D,90,1,0,0,1,Ens,SP,30,15.44,365,365,Sources,2018
D,1440,1,0,1,0,NWP,Persistence,60,40.38,731,0,Sources,2019
D,15,1,1,0,0,Ens,SP,15,12.71,274,548,Sources,2020
D,30,1,1,0,0,ML,SP,10,10.25,731,1096,Sources,2022
C,120,1,1,0,0,TS,Persistence,60,48.5232866338508,365,366,Sources,2015
C,720,1,1,1,0,ImageBased,PerClim,15,32.3,365,0,PV,2021
A,3600,1,0,0,0,ML,SP,60,31.64,335,30,PV,2016
A,60,1,1,0,0,ML,SP,60,7.85509325681492,365,366,Sources,2015
C,180,1,1,0,1,Reg,SP,60,7.35,350,700,Sources,2015
D,60,1,1,0,0,Ens,SP,15,12.06,274,548,Sources,2020
B,60,0,1,0,0,ML,SP,60,11.44,91,274,Sources,2016
B,120,0,1,0,0,ML,SP,60,18.38,91,274,Sources,2016
C,60,1,1,0,1,Hybrid,SP,60,45.38,365,1460,Sources,2021
C,60,1,0,0,0,ML,Persistence,60,7.1,183,365,Sources,2017
C,240,0,0,0,0,ImageBased,SP,60,19,365,1675,Sources,2018
B,1440,1,0,0,0,ML,Persistence,60,54.2955986930617,31,365,Sources,2021
A,600,1,0,0,0,TS,SP,10,18.04,335,30,PV,2016
C,120,1,1,0,0,TS,Persistence,60,52.0257478227944,365,366,Sources,2015
B,1440,1,0,1,0,NWP,Persistence,60,20.53,731,0,Sources,2019
C,360,1,1,1,0,Ens,SP,15,10.39,730,730,Sources,2020
C,1440,0,0,1,1,ML,Persistence,60,53.1,365,2556,Sources,2018
C,360,1,0,0,0,ImageBased,SP,60,67.7,730,731,PV,2018
C,60,1,1,0,0,Reg,SP,60,5.051,350,700,Sources,2015
C,360,0,0,0,0,ImageBased,SP,60,18.8,365,1675,Sources,2018
C,60,1,0,0,0,ML,Persistence,60,58.0436540016168,731,730,Sources,2019
C,360,1,0,0,0,ML,Persistence,60,46.899467585343,219,876,Sources,2018
N,360,1,0,0,0,TS,Persistence,60,48.533701827115,73,292,Sources,2018
C,60,1,1,0,0,TS,Persistence,60,36.0363180964308,365,366,Sources,2015
N,60,1,1,0,1,Reg,SP,60,9.763,350,700,Sources,2015
C,1620,1,0,0,0,TS,Persistence,60,29.6,365,0,PV,2017
C,60,1,0,0,0,ML,Persistence,60,4.8,183,365,Sources,2017
C,180,1,1,0,0,ML,SP,60,27.787,350,700,Sources,2015
C,180,1,1,0,0,TS,Persistence,60,56.9714131607336,365,366,Sources,2015
C,180,1,0,0,0,ML,Persistence,60,41.0737726437385,219,876,Sources,2018
B,360,1,0,0,0,ML,Persistence,60,84.7667046008779,365,1095,Sources,2022
